Search_Term,Word,n=1,n=3,n=5,n=10,n=15,n=20,n=25,n-50,wordOccurrence,,,,,,,,
design,charter,10,1,1,3,2,1,0,1,28,,,,,,,,
design,missions,10,1,1,0,1,3,1,4,21,,,,,,,,
design,guidelines,10,1,1,0,1,1,1,2,84,,,,,,,,
design,consultancy,10,0,1,0,1,1,0,0,16,,,,,,,,
design,international,9,17,18,12,21,20,13,15,670,,,,,,,,
design,co-design,9,10,9,4,4,2,6,5,404,,,,,,,,
design,act,9,7,6,3,5,2,7,2,208,,,,,,,,
design,exploration,9,7,4,1,1,4,4,2,193,,,,,,,,
design,group,9,4,1,5,5,4,1,9,582,,,,,,,,
design,contribution,9,3,3,5,4,1,0,3,159,,,,,,,,
design,tasks,9,2,1,3,4,1,2,0,115,,,,,,,,
design,manager,9,2,1,3,1,2,1,0,23,,,,,,,,
design,futures,9,1,4,3,0,2,0,1,77,,,,,,,,
design,led,9,1,1,4,4,0,1,1,144,,,,,,,,
design,driven,9,1,0,2,1,0,1,3,67,,,,,,,,
design,techniques,9,0,4,3,1,5,4,7,203,,,,,,,,
design,agencies,9,0,2,1,1,1,0,1,23,,,,,,,,
design,hypothesis,9,0,0,0,0,1,1,1,39,,,,,,,,
design,how,8,39,31,36,39,30,34,36,2097,,,,,,,,
design,these,8,30,31,15,18,25,33,20,1973,,,,,,,,
design,they,8,27,25,13,21,12,18,19,2085,,,,,,,,
design,more,8,25,24,24,20,17,20,25,1905,,,,,,,,
design,visual,8,16,14,11,13,11,16,9,788,,,,,,,,
design,review,8,12,9,3,11,10,10,8,485,,,,,,,,
design,there,8,10,13,10,7,8,16,9,772,,,,,,,,
design,value,8,6,11,9,9,7,9,13,634,,,,,,,,
design,after,8,3,3,5,5,5,3,2,404,,,,,,,,
design,idea,8,3,2,4,4,5,7,1,288,,,,,,,,
design,(eg.,8,2,5,3,4,3,4,7,348,,,,,,,,
design,royal,8,2,4,1,1,1,0,1,55,,,,,,,,
design,patterns,8,2,2,3,2,3,2,1,199,,,,,,,,
design,phase,8,1,3,5,3,6,5,2,222,,,,,,,,
design,educator,8,1,1,0,0,0,0,1,28,,,,,,,,
design,fields,8,1,0,5,5,1,2,0,112,,,,,,,,
design,fixation,8,0,2,0,2,1,0,0,33,,,,,,,,
design,thinking�,8,0,2,0,0,0,0,0,25,,,,,,,,
design,principle,8,0,0,1,2,0,1,2,74,,,,,,,,
design,(rtd),8,0,0,1,0,0,1,0,11,,,,,,,,
design,maturity,8,0,0,0,0,0,0,0,19,,,,,,,,
design,were,7,25,24,21,24,16,23,25,2321,,,,,,,,
design,experience,7,18,19,20,22,20,27,29,1425,,,,,,,,
design,business,7,11,6,9,6,6,9,5,343,,,,,,,,
design,beyond,7,10,4,7,3,6,7,4,290,,,,,,,,
design,may,7,10,3,12,9,10,12,6,770,,,,,,,,
design,london,7,9,10,5,4,6,6,6,200,,,,,,,,
design,things,7,9,4,4,2,1,5,4,355,,,,,,,,
design,2,7,8,8,3,6,4,4,7,530,,,,,,,,
design,pp,7,6,7,8,3,5,3,11,334,,,,,,,,
design,does,7,6,1,5,4,4,5,5,311,,,,,,,,
design,cannot,7,6,1,1,2,1,3,0,159,,,,,,,,
design,challenge,7,4,5,1,7,3,4,4,248,,,,,,,,
design,because,7,4,2,2,1,2,6,3,438,,,,,,,,
design,tradition,7,4,1,2,3,3,0,2,109,,,,,,,,
design,so,7,4,0,5,5,5,2,7,512,,,,,,,,
design,intervention,7,3,0,1,4,2,0,2,108,,,,,,,,
design,itself,7,2,4,3,1,0,2,1,169,,,,,,,,
design,ideation,7,2,4,1,1,4,3,3,179,,,,,,,,
design,reviews,7,0,3,1,1,0,0,1,50,,,,,,,,
design,consideration,7,0,3,0,1,1,3,1,100,,,,,,,,
design,degree,7,0,1,4,1,2,1,2,108,,,,,,,,
design,traits,7,0,1,0,1,1,0,1,29,,,,,,,,
design,thinkers,7,0,0,0,2,0,1,0,12,,,,,,,,
design,not,6,32,23,29,24,19,21,21,2196,,,,,,,,
design,user,6,17,20,15,9,13,14,17,824,,,,,,,,
design,service,6,15,12,11,16,16,22,22,823,,,,,,,,
design,using,6,12,7,9,6,12,10,8,862,,,,,,,,
design,digital,6,11,33,30,13,11,16,11,1034,,,,,,,,
design,towards,6,9,8,4,4,9,9,7,451,,,,,,,,
design,would,6,9,7,10,7,8,8,7,723,,,,,,,,
design,making,6,9,5,13,11,10,8,13,700,,,,,,,,
design,workshop,6,7,5,6,13,5,7,8,403,,,,,,,,
design,professional,6,6,7,0,5,7,8,5,350,,,,,,,,
design,he,6,5,5,6,3,10,6,3,331,,,,,,,,
design,course,6,5,5,4,6,4,8,3,283,,,,,,,,
design,narrative,6,4,5,3,4,1,6,5,423,,,,,,,,
design,subject,6,4,3,1,2,2,0,1,105,,,,,,,,
design,elements,6,3,6,2,5,5,4,10,339,,,,,,,,
design,now,6,3,2,1,3,1,6,0,152,,,,,,,,
design,offers,6,3,2,1,1,0,1,0,121,,,,,,,,
design,ethics,6,3,1,2,2,2,3,1,145,,,,,,,,
design,prototypes,6,3,0,4,1,2,6,2,172,,,,,,,,
design,related,6,2,7,6,6,8,8,8,416,,,,,,,,
design,since,6,2,6,2,3,2,4,6,283,,,,,,,,
design,faculty,6,2,3,5,1,0,2,2,106,,,,,,,,
design,cards,6,2,3,0,2,2,2,1,206,,,,,,,,
design,knowing,6,2,0,2,3,3,0,0,64,,,,,,,,
design,intent,6,1,2,0,1,1,0,0,47,,,,,,,,
design,edited,6,1,0,1,0,1,0,1,24,,,,,,,,
design,while,6,0,8,11,10,3,13,8,726,,,,,,,,
design,cycle,6,0,2,3,1,0,1,2,66,,,,,,,,
design,initiatives,6,0,2,0,0,1,1,1,75,,,,,,,,
design,capabilities,6,0,1,1,4,3,1,0,118,,,,,,,,
design,briefs,6,0,1,0,0,0,1,0,21,,,,,,,,
design,competition,6,0,0,1,0,2,0,0,42,,,,,,,,
design,synthesis,6,0,0,0,1,2,3,0,55,,,,,,,,
design,noir,6,0,0,0,0,0,0,1,6,,,,,,,,
design,(hcd),6,0,0,0,0,0,0,0,6,,,,,,,,
design,their,5,41,33,25,31,41,44,38,3560,,,,,,,,
design,social,5,34,17,26,30,36,23,24,1284,,,,,,,,
design,such,5,23,17,19,19,12,20,18,1496,,,,,,,,
design,our,5,20,17,22,23,25,20,14,1534,,,,,,,,
design,communication,5,15,13,8,3,9,6,7,532,,,,,,,,
design,participatory,5,13,13,7,10,8,9,9,337,,,,,,,,
design,first,5,11,10,17,5,12,17,10,670,,,,,,,,
design,into,5,8,22,24,22,19,15,16,1310,,,,,,,,
design,his,5,7,6,3,6,7,9,6,297,,,,,,,,
design,creating,5,7,0,6,4,5,5,4,318,,,,,,,,
design,production,5,6,4,1,2,2,3,2,209,,,,,,,,
design,requires,5,6,4,0,4,1,3,3,164,,,,,,,,
design,5,5,6,3,2,1,3,4,0,278,,,,,,,,
design,why,5,6,0,3,3,2,8,6,212,,,,,,,,
design,institute,5,5,4,7,6,5,4,3,157,,,,,,,,
design,changes,5,5,4,7,3,8,10,6,308,,,,,,,,
design,function,5,5,3,1,3,1,2,3,141,,,,,,,,
design,object,5,4,3,0,3,2,1,1,152,,,,,,,,
design,spaces,5,4,1,4,2,3,5,4,209,,,,,,,,
design,effective,5,3,4,0,5,3,3,5,244,,,,,,,,
design,workshops,5,2,2,2,1,1,1,2,198,,,,,,,,
design,situation,5,2,1,2,4,1,1,0,189,,,,,,,,
design,justice,5,2,1,1,1,1,0,0,59,,,,,,,,
design,scholarship,5,1,2,1,2,1,1,2,41,,,,,,,,
design,aesthetics,5,1,2,1,1,0,4,0,103,,,,,,,,
design,bis,5,1,0,1,0,0,0,1,18,,,,,,,,
design,5(1),5,1,0,0,0,0,0,0,18,,,,,,,,
design,reasoning,5,0,2,3,2,2,3,4,108,,,,,,,,
design,practice-based,5,0,2,3,1,2,1,0,23,,,,,,,,
design,phases,5,0,2,1,2,0,0,2,87,,,,,,,,
design,board,5,0,2,1,0,4,1,0,67,,,,,,,,
design,helps,5,0,2,1,0,2,2,4,113,,,,,,,,
design,labs,5,0,1,1,0,1,3,2,89,,,,,,,,
design,choices,5,0,1,1,0,1,3,0,115,,,,,,,,
